smiles,max_spin_ml,spin_buried_vol_ml,ionization_energy_ml,electron_affinity_ml,stability_ml,max_spin_dft,spin_buried_vol_dft,stability_dft,ionization_energy_dft,electron_affinity_dft
C=C1CC=CC2=C1C(CC)=C[CH]2,0.24680285,61.335598,0.8641253709793091,-0.3539725840091705,98.99545549999999,0.2910020306447146,37.71394277128776,73.16384123905203,,
C=CC1=C[CH]C2=C1CCC=C2C,0.2153016,56.33274,0.8657882213592529,-0.2937494814395904,95.56766,,,,,
C=C1CC=CC2=C(CO)[CH]C=C12,0.21207136,56.256523,0.922450065612793,-0.2752598822116852,95.652955,0.2962645643411318,34.21743571319658,69.40420749613999,,
C=CCCC1=C[CH]C=C1/C=C\C,0.20332398,55.592342,1.0177427530288696,-0.247388869524002,95.426143,0.28381766037735845,57.00030565219844,92.80942263333051,1.0197245227001606,-0.21428671488669693
Cc1cc([O])sc1[C@@H](C)N(C)C,0.3679313,64.57938,1.0871930122375488,-0.1031377837061882,96.182815,0.4024491107712743,64.32559489949878,94.20313936093507,1.1788262582281375,-0.12337532470165424
C=Cc1sc(C)c2cc([O])sc12,0.21591887,57.306004,1.0491650104522705,-0.1159372851252555,96.51006050000001,0.3753352819122067,39.10452291884674,70.33775882323641,1.1671800220734188,0.06242023714787237
CNCC1=C(SC(C)C)[CH]C=C1,0.19315492,56.951004,0.996595859527588,-0.2026863098144531,97.293258,0.38070742537323776,56.39335565012031,87.35798438145842,0.5669362758781924,-0.0045184099135555655
CC(C)C1=C2C=CC=C2C=C[CH]1,0.19847246,59.313385,0.7987502813339233,-0.3615254461765289,99.38976199999999,0.31681065369252315,42.31252845857894,76.47199577395278,1.0556972427907922,-0.3070212308236684
Cc1cc(C(C)(C)S)c([O])s1,0.2761897,63.418556,1.0295944213867188,-0.2262198626995086,99.609071,0.3176891367910129,63.3379493959781,97.45349255642745,1.0218469676079742,-0.20470850196946166
Cc1c([O])sc2c1C=CC2(C)C,0.303378,62.367363,0.9527378678321838,-0.3509793281555176,97.198463,0.3920710010373318,62.07466273797721,92.47111268611062,0.9276158559039427,-0.3171708712113257
CCc1cc([O])oc1C(C)(C)O,0.3215369,62.759502,0.9845036268234252,-0.1771442294120788,96.682657,0.45546414859423984,62.95263809421696,90.17943066450496,1.0677516414281394,-0.20906223511647148
CCc1cc([O])oc1[C@H](C)CC,0.29861012,62.87704,0.9235292673110962,-0.2581059634685516,97.946534,0.4115295304299566,60.43182147313074,89.8553449516329,0.8918064008072895,-0.3194293702795008
CC(C)SC1=C(CNO)C=C[CH]1,0.20220095,56.9374,1.053240180015564,-0.161000907421112,96.8273525,0.3317699758489697,58.124787648228505,91.53628885578001,,-0.14255896136201063
CC(C)SC1=C(C(N)N)C=C[CH]1,0.2644495,58.38401,0.9404072761535645,-0.3190172016620636,95.161535,0.42687038827574353,61.82727643651991,90.48375702273273,0.569276407442584,0.06840662022539856
CCc1cc([O])oc1[C@H](C)CO,0.3042259,61.06439,1.0594074726104736,-0.1570280194282531,95.853095,0.41055545765667173,60.3312523019104,89.80347941907682,0.9765681429254682,-0.23363361653948722
CC(C)(CCN)c1ccc([O])s1,0.32195494,64.397255,1.0544664859771729,-0.1342644691467285,98.299508,0.3823148754079103,39.74212756594768,70.62638379555217,,
[O]c1cc(O)c(C2(CS)CC2)s1,0.3250991,63.458134,1.0324724912643433,-0.0683745369315147,97.203179,0.4261646390535836,63.306149247662496,91.99791729498332,0.9331940764941997,-0.09281756021039289
CC[C@H](CN)c1sc([O])cc1N,0.3159019,64.55626,0.9634675979614258,-0.2490080893039703,98.76116499999999,0.5096726434577061,63.438235416985776,87.95460324410047,0.8938200023837224,-0.32068106855481915
C[CH]/C=C1\C(CC)=CC=C1CS,0.33055693,61.752247,0.9043707251548768,-0.261853963136673,95.2244005,0.3333874982140919,61.35046207786746,94.68108716716287,1.0872345972443842,-0.014151044491842235
C=C(C)C1=C[CH]C=C1C=C(C)C,0.22154544,58.495827,0.8865927457809448,-0.2647398114204407,97.418555,0.3094565512037763,56.3953852687865,90.92255770859768,,
C=C(CC)C1=C[CH]C=C1/C=C/C,0.2578804,60.05204,0.9671777486801147,-0.2767079472541809,97.15802,0.2982015774552936,53.486876000835466,88.57679712807078,0.9418471211132484,-0.19292621165592916
C/C=C(\C=N)c1cc(C)sc1[O],0.23640737,57.345222,0.9847972393035888,-0.1354773342609405,95.5248535,0.3018848653948579,45.4714965875559,80.377253317813,1.0017381626540711,-0.189497646807105
C=C(C)C1=C[CH]C=C1/C=C/CO,0.19275549,57.025555,1.0491820573806765,-0.1759167909622192,97.38778049999999,0.2860081107359584,53.31950135244746,89.01909581564954,1.0447856991020208,-0.05872238753737946
Cc1cc([O])sc1C1(CS)CC1,0.29959118,65.57053,0.9028894901275636,-0.186362624168396,100.59097100000001,0.40568497687310484,63.73220486020455,93.44795601654931,0.9880511140877548,-0.12849096114668423
C=C(C)C1=C[CH]C=C1/C=C/CC,0.18251401,57.021324,0.9514669179916382,-0.2527400255203247,97.8956235,0.36692046506842285,30.11465539328721,61.76863213986607,0.9344457747710644,-0.1773616156704474
C/C=C(/C)C1=C[CH]C=C1/C=C/C,0.19802536,60.565964,0.8286483287811279,-0.3309565484523773,100.66469599999999,0.4009030319630156,61.11588036619524,91.07072876804446,0.9358879488739822,-0.21287175161585292
CSC(C)(C)c1cc(C)c([O])s1,0.33654454,64.61881,1.0148332118988037,-0.2306270599365234,97.791583,0.35244231181993807,65.69069351323878,98.06857792224189,,
C/C=C/C1=C[CH]C=C1CCSC,0.20409401,57.05494,0.9861464500427246,-0.2818798720836639,96.85023950000001,,,,,
CCC(C)(C)c1ccc([O])s1,0.33116797,64.3524,1.0651509761810305,-0.099621333181858,97.79400150000001,0.29038931070148827,45.85733601244311,81.3378704773687,1.1421460565051769,-0.1681915652420276
C#CC1(c2sc([O])cc2C)CC1,0.29721653,62.30423,0.9672069549560548,-0.1461292505264282,97.44340349999999,0.38561707186060773,62.405478998079126,93.12462540504873,1.04802378812634,-0.01831430180816085
Cc1c(S)sc([O])c1C(C)(C)N,0.26821655,66.755775,0.727023184299469,-0.3409758508205414,103.3449475,0.3071648052920471,51.93366934515294,86.57542908055059,0.9265002117858909,-0.11706241165163611
Cc1cc([O])sc1C(C)(C)NN,0.34598258,66.1781,1.0739487409591677,-0.1519903242588043,98.878971,0.4137029561742173,67.23704567070361,96.55189786199274,,
